classifier;exs_per_class;mean_acc;std_acc;accs
PATCHY-SAN;12;0.2879098386060996;0.0639872767306115;[0.21721311463195769, 0.35655738169052564, 0.28073770931509673, 0.19467213346821363, 0.30122951161665995, 0.3627049236512575, 0.194672130414697, 0.31557377293461658, 0.28278688988724693, 0.37295081845072448]
PATCHY-SAN;14;0.3207818927588286;0.060568317519526;[0.37242798783161024, 0.38477366451373318, 0.29423868864652059, 0.19341563497796471, 0.36419752828868818, 0.37037037030904874, 0.32098765272662472, 0.36213991058216172, 0.23868312781730305, 0.30658436189463112]
PATCHY-SAN;16;0.2921487608847539;0.07906611975050602;[0.24173553891418395, 0.28925620154900983, 0.33471074010715013, 0.17975206537680191, 0.31404958850096082, 0.19628099247443775, 0.37396694658216367, 0.36363636683826606, 0.20661157160258489, 0.42148759690198029]
PATCHY-SAN;18;0.3400414931205298;0.0571233070756781;[0.39211618479851368, 0.3464730286746599, 0.32365145574466814, 0.20331949935414484, 0.35892116083643744, 0.33609958617519048, 0.39626555225166543, 0.36929460222295707, 0.28008298953044464, 0.39419087161661676]
PATCHY-SAN;20;0.3149999981435637;0.08505410794938285;[0.40833332637945813, 0.27916666430731613, 0.38958332935969037, 0.1833333314086, 0.19374999900658926, 0.36041666443149251, 0.35000000521540642, 0.3895833318432172, 0.21041666530072689, 0.3854166641831398]
PiNet;12;0.7720000045001507;0.2943739100195109;[0.8400000095367431, 1.0, 0.6600000128149986, 1.0, 1.0, 1.0, 1.0, 0.7600000143051148, 0.2600000038743019, 0.20000000447034835]
PiNet;14;0.8420000059902668;0.1695759375629802;[0.44000001102685926, 0.7600000113248825, 1.0, 0.8600000083446503, 0.720000010728836, 0.8600000083446503, 1.0, 1.0, 1.0, 0.7800000101327896]
PiNet;16;0.7780000035464764;0.2957634160361718;[0.28000000566244126, 1.0, 1.0, 1.0, 1.0, 0.4600000098347664, 0.7400000154972076, 0.30000000447034836, 1.0, 1.0]
PiNet;18;0.8140000048279763;0.24528350628804005;[1.0, 0.8400000095367431, 0.6400000154972076, 0.8800000071525573, 0.2600000038743019, 1.0, 1.0, 1.0, 1.0, 0.5200000122189522]
PiNet;20;0.7500000062584877;0.26324892825943674;[1.0, 1.0, 0.5400000140070915, 0.8400000095367431, 1.0, 0.7200000137090683, 0.28000000715255735, 0.34000000804662706, 1.0, 0.7800000101327896]
WLKernel;12;0.174;0.04651881339845203;[0.1, 0.28, 0.14, 0.18, 0.16, 0.18, 0.16, 0.18, 0.22, 0.14]
WLKernel;14;0.186;0.03352610922848042;[0.14, 0.2, 0.18, 0.14, 0.2, 0.18, 0.16, 0.2, 0.26, 0.2]
