dataset;pretty_name;preprocessA;batch_size;mean_acc;acc_std;mean_train_time(s);time_std;all_accs;all_times
MUTAG;MUTAG;;50;0.873654967546463;0.08343919624135311;8.069265151023865;0.5961652619253917;[0.949999988079071, 0.6499999761581421, 0.8500000238418579, 0.8947368264198303, 0.9473684430122375, 0.8888888955116272, 0.8888888955116272, 0.8888888955116272, 0.8333333134651184, 0.9444444179534912];[8.538144826889038, 7.085356712341309, 7.420773267745972, 7.603698492050171, 7.737782716751099, 7.971595048904419, 8.063584327697754, 8.638599634170532, 8.526365041732788, 9.106751441955566]
NCI1;NCI-1;;50;0.7217777808507283;0.031107937563145085;122.8388876914978;3.7749611098470717;[0.7444444563653734, 0.7822222312291464, 0.7111111084620158, 0.7222222288449606, 0.7244444423251681, 0.6822222272555033, 0.7311111092567444, 0.751111110051473, 0.6911111142900255, 0.6777777804268731];[120.2275083065033, 120.07064247131348, 120.00998759269714, 120.38622665405273, 121.39065933227539, 123.25796961784363, 132.98992943763733, 125.6454348564148, 122.26132893562317, 122.14918971061707]
NCI109;NCI-109;;50;0.7142222219043307;0.023458918846046083;121.34863913059235;1.0542762224955504;[0.6733333335982429, 0.6866666608386569, 0.731111102634006, 0.7399999962912666, 0.6933333476384481, 0.6955555611186557, 0.717777775393592, 0.7377777695655823, 0.7377777828110589, 0.7288888891537985];[119.76937294006348, 119.72113037109375, 120.43237209320068, 120.98662996292114, 121.30750584602356, 121.57341241836548, 121.97100019454956, 122.40701198577881, 122.72160840034485, 122.59634709358215]
PTC_MM;PTC-MM;;50;0.6694630086421967;0.052747524913082454;11.486560082435608;0.7854705934835822;[0.6764705777168274, 0.7941176295280457, 0.6176470518112183, 0.6764705777168274, 0.7058823704719543, 0.6176470518112183, 0.6764705777168274, 0.6060606241226196, 0.6363636255264282, 0.6875];[10.536960124969482, 10.635205745697021, 10.81594467163086, 11.094588041305542, 11.221347093582153, 11.573219299316406, 11.634023189544678, 12.018505811691284, 12.049023151397705, 13.286783695220947]
PTC_MR;PTC-MR;;50;0.5426470607519149;0.06413247834620725;11.481256985664368;0.7793784186775434;[0.6111111044883728, 0.6388888955116272, 0.47058823704719543, 0.47058823704719543, 0.5882353186607361, 0.5, 0.5, 0.6176470518112183, 0.47058823704719543, 0.5588235259056091];[10.463377237319946, 10.504997968673706, 10.698689222335815, 11.077837944030762, 11.291147947311401, 11.63261103630066, 11.69311261177063, 12.228808164596558, 12.393495321273804, 12.828492403030396]
PTC_FM;PTC-FM;;50;0.6388095259666443;0.029465635435631507;11.491224145889282;0.6315022836398969;[0.6111111044883728, 0.6944444179534912, 0.6111111044883728, 0.6285714507102966, 0.6571428775787354, 0.6857143044471741, 0.6176470518112183, 0.6176470518112183, 0.6176470518112183, 0.6470588445663452];[10.588566541671753, 10.85640025138855, 10.91897463798523, 11.345993995666504, 11.212393999099731, 11.413176536560059, 11.609040260314941, 11.9964120388031, 12.27241325378418, 12.698869943618774]
PTC_FR;PTC-FR;;50;0.6496031939983368;0.017407025333396737;11.524670386314392;0.6309415358891988;[0.6388888955116272, 0.6571428775787354, 0.6285714507102966, 0.6285714507102966, 0.6857143044471741, 0.6571428775787354, 0.6571428775787354, 0.6571428775787354, 0.6571428775787354, 0.6285714507102966];[10.656972646713257, 10.741809606552124, 10.957091569900513, 11.146296977996826, 11.361129522323608, 11.688401222229004, 11.817359924316406, 12.194684505462646, 12.004360437393188, 12.678597450256348]
ENZYMES;ENZYMES;;50;0.27700000181794165;0.053860933113081516;33.35142297744751;0.6472032020377971;[0.1600000038743019, 0.22999999672174454, 0.3200000077486038, 0.3100000023841858, 0.25, 0.3700000047683716, 0.27000000327825546, 0.2900000065565109, 0.29999999701976776, 0.26999999582767487];[32.733513593673706, 32.60529184341431, 32.49174690246582, 33.07176327705383, 33.03482508659363, 33.45095682144165, 33.5533173084259, 34.208040714263916, 33.89321208000183, 34.4715621471405]
PROTEINS;PROTEINS;;50;0.7340000053246817;0.03595675436614894;820.9618945121765;8.805280232439063;[0.6933333476384481, 0.753333330154419, 0.746666669845581, 0.7066666682561239, 0.6933333476384481, 0.746666669845581, 0.7000000278155009, 0.8133333126703898, 0.7266666690508524, 0.7600000103314718];[816.3566105365753, 814.6775381565094, 817.2857739925385, 818.1930346488953, 817.0370116233826, 816.1662337779999, 818.2519977092743, 816.7527923583984, 830.878720998764, 844.0192313194275]

