time;trial;loss;accuracy;cf
1559226317.3794022;0;0.3234894871711731;0.8999999761581421;"[[5, 2], [1, 12]]"
1559226601.7623568;1;0.47241973876953125;0.800000011920929;"[[5, 2], [2, 11]]"
1559226905.0387998;2;0.3113413155078888;0.800000011920929;"[[3, 4], [0, 13]]"
1559227201.5415409;3;0.2989676594734192;0.8947368264198303;"[[5, 1], [1, 12]]"
1559227497.9698539;4;0.7990520596504211;0.7894737124443054;"[[4, 2], [2, 11]]"
1559227783.3437655;5;0.28115546703338623;0.8888888955116272;"[[5, 1], [1, 11]]"
1559228076.6382937;6;0.3192559480667114;0.8333333134651184;"[[5, 1], [2, 10]]"
1559228360.8890495;7;0.3934042453765869;0.7777777910232544;"[[4, 2], [1, 11]]"
1559228633.9997208;8;0.6592012047767639;0.6666666865348816;"[[4, 2], [3, 9]]"
1559228906.299249;9;0.2770932614803314;0.9444444179534912;"[[6, 0], [2, 10]]"
