time;aggregator;trial;loss;accuracy;cf
2019-06-03 16:47:35;mean;0;0.4550745487213135;0.800000011920929;[[5, 2], [2, 11]]
2019-06-03 16:49:13;mean;1;0.47821834683418274;0.800000011920929;[[5, 2], [2, 11]]
2019-06-03 16:50:52;mean;2;0.44616320729255676;0.8500000238418579;[[4, 3], [0, 13]]
2019-06-03 16:52:33;mean;3;0.602699875831604;0.8421052694320679;[[5, 1], [2, 11]]
2019-06-03 16:54:12;mean;4;0.42304348945617676;0.8421052694320679;[[4, 2], [1, 12]]
2019-06-03 16:56:05;mean;5;0.3064741790294647;0.8888888955116272;[[4, 2], [0, 12]]
2019-06-03 16:58:10;mean;6;0.3675282597541809;0.9444444179534912;[[5, 1], [0, 12]]
2019-06-03 16:59:55;mean;7;0.28252503275871277;0.9444444179534912;[[5, 1], [0, 12]]
2019-06-03 17:01:43;mean;8;0.28829747438430786;0.8888888955116272;[[4, 2], [0, 12]]
2019-06-03 17:04:00;mean;9;0.41660594940185547;0.8888888955116272;[[6, 0], [2, 10]]
2019-06-03 17:05:49;max;0;0.2634633481502533;1.0;[[7, 0], [0, 13]]
2019-06-03 17:07:57;max;1;0.39537370204925537;0.8500000238418579;[[5, 2], [1, 12]]
2019-06-03 17:09:50;max;2;0.3178652822971344;0.8999999761581421;[[5, 2], [0, 13]]
2019-06-03 17:12:12;max;3;0.27815550565719604;0.8947368264198303;[[4, 2], [0, 13]]
2019-06-03 17:14:14;max;4;0.5118516087532043;0.7894737124443054;[[4, 2], [2, 11]]
2019-06-03 17:16:46;max;5;0.35017895698547363;0.8888888955116272;[[5, 1], [1, 11]]
2019-06-03 17:18:52;max;6;0.8884910941123962;0.7222222089767456;[[4, 2], [3, 9]]
2019-06-03 17:21:11;max;7;0.2956096827983856;0.8888888955116272;[[4, 2], [0, 12]]
2019-06-03 17:23:21;max;8;0.38259366154670715;0.8888888955116272;[[5, 1], [1, 11]]
2019-06-03 17:25:40;max;9;0.5158006548881531;0.7777777910232544;[[4, 2], [2, 10]]
