dataset;batch_size;mean_acc;acc_std;mean_train_time(s);time_std;all_accs;all_times
MUTAG;20;0.8211988270282745;0.09411345482930655;2.8079636812210085;0.17891101768082454;[0.6000000238418579, 0.8999999761581421, 0.75, 0.7894737124443054, 0.8947368264198303, 0.8333333134651184, 0.8333333134651184, 0.8888888955116272, 0.7777777910232544, 0.9444444179534912];[2.6228435039520264, 2.5189549922943115, 2.6779353618621826, 2.6628878116607666, 2.814976453781128, 2.8578851222991943, 2.9507670402526855, 2.9047939777374268, 2.9126851558685303, 3.155907392501831]
MUTAG;50;0.8509064257144928;0.09022601833446872;4.386525273323059;0.49225772209405877;[0.949999988079071, 0.800000011920929, 0.800000011920929, 0.8421052694320679, 0.8947368264198303, 1.0, 0.7222222089767456, 0.9444444179534912, 0.8333333134651184, 0.7222222089767456];[4.181168794631958, 4.053487062454224, 3.9728307723999023, 4.085559368133545, 3.9792654514312744, 4.101331949234009, 4.1963605880737305, 5.285349130630493, 4.729063272476196, 5.280836343765259]
MUTAG;100;0.8370467841625213;0.0883552061334921;6.206565356254577;0.618355914050708;[0.8999999761581421, 0.6499999761581421, 0.800000011920929, 0.8421052694320679, 0.7894737124443054, 0.8333333134651184, 1.0, 0.8888888955116272, 0.8888888955116272, 0.7777777910232544];[5.644314527511597, 5.6523966789245605, 5.975163698196411, 5.9322264194488525, 6.122811555862427, 6.057568073272705, 6.123047828674316, 6.04820990562439, 6.617743015289307, 7.892171859741211]
NCI1;20;0.6559523808104653;0.023696156458000255;62.92877051830292;0.7259778342903518;[0.6738095198358808, 0.6809523758434114, 0.6928571434248061, 0.6238095249448504, 0.6380952397982279, 0.6261904793126243, 0.6642857108797345, 0.6595238106591361, 0.6714285697255816, 0.6285714336803981];[62.981550455093384, 62.45492148399353, 63.19491386413574, 62.84138369560242, 63.15850210189819, 63.32077693939209, 61.80431866645813, 62.31053805351257, 62.56580328941345, 64.65499663352966]
NCI1;50;0.6535555601119996;0.018841772794824203;43.93044548034668;0.9085777152217873;[0.6511111127005683, 0.6577777862548828, 0.6444444457689921, 0.6511111127005683, 0.6911111142900255, 0.6688889000150893, 0.6488888992203606, 0.6688888933923509, 0.6199999981456332, 0.633333338631524];[44.548927545547485, 42.90282344818115, 43.25308084487915, 43.78653335571289, 43.45048666000366, 43.153895139694214, 44.271509408950806, 44.23843479156494, 43.507067918777466, 46.19169569015503]
NCI1;100;0.663199998140335;0.01716275241496845;40.612173438072205;1.3645688081385798;[0.6740000009536743, 0.6620000123977661, 0.6919999957084656, 0.6679999947547912, 0.6679999947547912, 0.6659999966621399, 0.6800000071525574, 0.6379999995231629, 0.649999988079071, 0.6339999914169312];[39.90279006958008, 38.80033850669861, 39.540213108062744, 39.31550192832947, 39.023919105529785, 42.20454287528992, 42.56461310386658, 41.63897252082825, 41.20337152481079, 41.92747163772583]
PROTEINS;20;0.7308333327372868;0.05810072776907601;90.33256278038024;5.706544406532214;[0.8000000019868215, 0.7416666547457377, 0.6666666666666666, 0.7333333392937978, 0.7416666646798452, 0.7500000099341074, 0.6333333353201548, 0.8416666686534882, 0.6833333273728689, 0.7166666587193807];[87.74653172492981, 88.76099228858948, 105.09132099151611, 90.37343978881836, 88.42133498191833, 94.55893301963806, 85.92777228355408, 91.08184766769409, 83.04285049438477, 88.3206045627594]
PROTEINS;50;0.7273333330949148;0.04983973925806059;105.93375086784363;4.744108763259286;[0.7599999904632568, 0.6933333476384481, 0.7799999912579855, 0.6466666658719381, 0.7266666690508524, 0.6600000063578287, 0.7933333317438761, 0.753333330154419, 0.7733333309491476, 0.6866666674613953];[105.41516447067261, 106.96914625167847, 107.01717853546143, 111.14923620223999, 109.76761269569397, 108.55253481864929, 108.83951711654663, 98.14620733261108, 107.63690853118896, 95.84400272369385]
PROTEINS;100;0.735999995470047;0.04973931263182704;122.63868110179901;4.487000376822437;[0.7849999964237213, 0.7649999856948853, 0.7450000047683716, 0.7649999856948853, 0.675000011920929, 0.7749999761581421, 0.7549999952316284, 0.6200000047683716, 0.7649999856948853, 0.7100000083446503];[115.9853527545929, 122.13513946533203, 114.41270136833191, 124.31900262832642, 129.60738492012024, 128.35968375205994, 121.83268666267395, 124.71610140800476, 122.38746905326843, 122.63128900527954]
PTC_MM;20;0.6549999952316284;0.07314368901703752;8.376677680015565;0.48458230276794556;[0.6749999821186066, 0.699999988079071, 0.6749999821186066, 0.7249999940395355, 0.5250000059604645, 0.5999999940395355, 0.7249999940395355, 0.75, 0.625, 0.550000011920929];[7.81414532661438, 7.651317358016968, 7.639865875244141, 8.462807178497314, 8.233176946640015, 8.895272493362427, 8.575961589813232, 8.809224843978882, 8.792652606964111, 8.89235258102417]
